pathway_name,pathway_id,pathway_url,gene_symbol,ensg_id,chembl_id,drug_name,phase,status,disease_id,disease_name,mechanismOfAction,smiles
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL5314411,EPITINIB,1.0,Completed,EFO_0000616,neoplasm,,C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)N4CCN(CC)CC4)cc23)c1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2029988,CEP-32496,1.0,Completed,EFO_0000616,neoplasm,,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL598797,CUDC-101,1.0,Completed,EFO_0000616,neoplasm,,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4650289,KBP5209,1.0,Completed,EFO_0000616,neoplasm,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3545235,SIMOTINIB,1.0,Unknown status,EFO_0003060,non-small cell lung carcinoma,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC2(CC2)C2(C1)OCCO2
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3989970,MAVELERTINIB,1.0,Terminated,EFO_0003060,non-small cell lung carcinoma,,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C)c3n2)C[C@H]1F
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2109391,MDX-447,1.0,Completed,EFO_1000158,Central Nervous System Neoplasm,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3109738,JNJ-26483327,1.0,Completed,MONDO_0004992,cancer,,COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL1614725,TAK-285,1.0,Completed,MONDO_0004992,cancer,,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL5314410,THELIATINIB,1.0,Completed,MONDO_0004992,cancer,,C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)N4C[C@H]5CCN(C)[C@H]5C4)cc23)c1
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,https://reactome.org/PathwayBrowser/#/R-HSA-1236382,EGFR,ENSG00000146648,CHEMBL1201179,LAPATINIB DITOSYLATE,4.0,,EFO_0000305,breast carcinoma,,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.O
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,https://reactome.org/PathwayBrowser/#/R-HSA-1236382,EGFR,ENSG00000146648,CHEMBL3989921,NERATINIB MALEATE,4.0,,EFO_0000305,breast carcinoma,,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C.O=C(O)/C=C\C(=O)O
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,https://reactome.org/PathwayBrowser/#/R-HSA-1236382,EGFR,ENSG00000146648,CHEMBL1201577,CETUXIMAB,4.0,,EFO_0000365,colorectal adenocarcinoma,,
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,https://reactome.org/PathwayBrowser/#/R-HSA-1236382,EGFR,ENSG00000146648,CHEMBL1201827,PANITUMUMAB,4.0,,EFO_0000365,colorectal adenocarcinoma,,
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,https://reactome.org/PathwayBrowser/#/R-HSA-1236382,EGFR,ENSG00000146648,CHEMBL3353410,OSIMERTINIB,4.0,,EFO_0000616,neoplasm,,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,https://reactome.org/PathwayBrowser/#/R-HSA-1236382,EGFR,ENSG00000146648,CHEMBL3545311,BRIGATINIB,4.0,,EFO_0000616,neoplasm,,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,https://reactome.org/PathwayBrowser/#/R-HSA-1236382,EGFR,ENSG00000146648,CHEMBL4650319,MOBOCERTINIB,4.0,,EFO_0000616,neoplasm,,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,https://reactome.org/PathwayBrowser/#/R-HSA-1236382,EGFR,ENSG00000146648,CHEMBL2105719,DACOMITINIB,4.0,,EFO_0000616,neoplasm,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1.O
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,https://reactome.org/PathwayBrowser/#/R-HSA-1236382,EGFR,ENSG00000146648,CHEMBL3786343,OLMUTINIB,4.0,,EFO_0000616,neoplasm,,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,https://reactome.org/PathwayBrowser/#/R-HSA-1236382,EGFR,ENSG00000146648,CHEMBL1743047,NECITUMUMAB,4.0,,EFO_0000616,neoplasm,,
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382,https://reactome.org/PathwayBrowser/#/R-HSA-1236382,EGFR,ENSG00000146648,CHEMBL4297774,AMIVANTAMAB,4.0,,EFO_0000616,neoplasm,,
