compound_name,Morphology score,Infection rate (%),Inhibition of cytopathicity (%),naive_composite,naive_rank
BI-78D3,0.391830879984307,76.5,-2.9859999999999998,0.11499876986740609,315.0
SB-297006,0.369792845728442,84.5,0.774,0.11459049920849924,316.0
benztropine-mesylate,0.481040082102585,84.5,-2.85,0.1144140722161134,317.0
LCQ908,0.270300379297334,73.5,-0.406,0.11368086771631258,318.0
UBP-302,0.279636786374183,79.0,1.29,0.11271870462247402,319.0
kainic-acid,0.338177960608262,79.0,-0.6060000000000001,0.11270359808736567,320.0
ebselen,0.339675885160052,84.0,1.276,0.1126318188254722,321.0
dicycloverine,0.311309125757329,90.0,4.518,0.11260032177177781,322.0
lumateperone,0.348156736182968,86.0,1.7559999999999998,0.112477654623507,323.0
Ro-20-1724,0.429169095761285,86.0,-0.9299999999999999,0.11201878578446545,324.0
NSC-697923,0.214912709947758,68.0,-1.0080000000000005,0.1118568384769667,325.0
flumethasone-pivalate,0.324124550174847,80.0,0.07200000000000006,0.11154370151562225,326.0
Ebselen,0.339675885160052,84.5,1.268,0.11120938278777937,327.0
tolperisone,0.383491633007499,83.5,-0.5439999999999999,0.11116437094501053,328.0
rucaparib,0.233750813219943,83.0,4.106,0.111163172350349,329.0
K02288,0.509951644810182,95.0,-0.17600000000000007,0.11113321984600404,330.0
thiazovivin,0.654110857246723,99.0,-3.332,0.11081744133877307,331.0
SNAP-5089,0.212197677135686,98.5,10.754000000000001,0.11070353630683509,332.0
McN-5652-(+/-),0.327800291155729,86.5,2.35,0.11065715476844114,333.0
CYC116,0.442872389524066,93.0,1.128,0.1105010359635747,334.0
YIL-781,0.294569973596097,76.0,-0.674,0.11049066813342989,335.0
walrycin-B,0.399926902276967,86.5,-0.18999999999999986,0.10920247369654834,336.0
mosapride,0.330355789858756,89.5,3.2020000000000004,0.10904003893974863,337.0
metatinib,0.55124913325923,101.5,0.704,0.10897318771833357,338.0
GBR-12783,0.330023326455581,82.5,0.47000000000000003,0.10885815696749772,339.0
SX-011,0.323204650121502,82.0,0.4960000000000001,0.1088544676854795,340.0
algestone-acetophenide,0.363038806837898,88.5,1.72,0.10878276722009794,341.0
SKLB1002,0.402972156380701,102.0,5.66,0.10872719373880546,342.0
LCL-161,0.403290389562659,87.0,-0.28200000000000003,0.10795469776722337,343.0
PRIMA1,0.27312461064566,83.5,2.536,0.10771177579525663,344.0
isopropyl-palmitate,0.286087898371914,77.0,-0.40800000000000003,0.10769928236554083,345.0
BMS-833923,0.212855304933482,98.0,10.059999999999999,0.1073340226041594,346.0
MNITMT,0.299202392808534,87.0,2.996,0.10732585890930883,347.0
troglitazone,0.34202164474461,89.0,2.38,0.10727640595831552,348.0
TC1,0.31612033552854,88.5,2.98,0.1069676362348095,349.0
flavoxate,0.399549477411305,88.0,0.05600000000000001,0.10674987247598917,350.0
3-alpha-bis-(4-fluorophenyl)-methoxytropane,0.265698456206058,73.0,-1.486,0.1063963437538296,351.0
ACDPP,0.22635002753895,79.0,2.07,0.10607435685950177,352.0
lidoflazine,0.340147296352352,76.5,-2.634,0.10570662127958334,353.0
blebbistatin-(+/-),0.464194529538277,90.75,-1.193,0.10516569950753751,354.0
JNJ-38877605,0.389916287473303,95.5,2.98,0.10464770824775083,355.0
pimethixene,0.372827493033889,85.5,-0.41600000000000004,0.10417236925425351,356.0
PHCCC,0.246065857497228,79.0,1.062,0.1034685038255333,357.0
clotrimazole,0.254356069236479,78.5,0.588,0.10338586447884739,358.0
LDC1267,0.685089283391714,110.5,-1.0059999999999998,0.10282530289447467,359.0
promazine,0.410157807496973,91.5,0.48600000000000004,0.10262987040629083,360.0
